S. No.,First Name,Surname,Country,Specialism,Batting ,Bowling style,BASE(RS - L),POINTS,,Star Player
1,Harshal,Patel,India,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,250,41,Indian,No
,,,,,,,,,,
3,Mayank,Agarwal,India,BATSMAN,RHB,-,100,39,Indian,No
4,Anrich,Nortje,South Africa,BOWLER,RHB,Right-arm-fast,200,43,Oversesas,No
5,Hardik,Pandya,India,ALL-ROUNDER,RHB,Right-arm fast-medium,350,47,Indian,Yes
,,,,,,,,,,
,,,,,,,,,,
8,Mark,Wood,England,BOWLER,RHB,RIGHT ARM Fast,200,38,Oversesas,No
9,Aiden,Markram,South Africa,BATSMAN,RHB,RIGHT ARM Off Spin,200,40,Oversesas,No
,,,,,,,,,,
11,Virat,Kohli,India,BATSMAN,RHB,-,400,47,Indian,Yes
12,Kulwant,Khejroliya,India,BOWLER,LHB,LEFT ARM Fast,50,30,Indian,No
13,Rahul,Tripathi,India,BATSMAN,RHB,RIGHT ARM Medium,40,33,Indian,No
14,Mujeeb,Rahman ,Afghanistan,BOWLER,RHB,RIGHT ARM Off Spin,100,34,Oversesas,No
15,Glenn,Phillips,New Zealand,WICKETKEEPER,RHB,RIGHT ARM Off Spin,150,32,Oversesas,No
16,Saurabh,Tiwary,India,BATSMAN,LHB,RIGHT ARM Off Spin,50,31,Indian,No
,,,,,,,,,,
18,Chris,Jordan,England,BOWLER,RHB,RIGHT ARM Fast Medium,200,37,Oversesas,No
,,,,,,,,,,
20,Rovman,Powell,West Indies,BATSMAN,RHB,RIGHT ARM Fast Medium,100,35,Oversesas,No
21,Mustafizur,Rahman,Bangladesh,BOWLER,LHB,LEFT ARM Fast Medium,200,36,Oversesas,No
22,Sheldon,Jackson,India,WICKETKEEPER,RHB,-,50,30,Indian,No
23,Kane,Willamson,New Zealand,BATSMAN,RHB,-,200,41,Oversesas,No
24,Jonny,Bairstow,England,WICKETKEEPER,RHB,-,250,43,Oversesas,No
25,Manish,Pandey,India,BATSMAN,RHB,RIGHT ARM Off Spin,100,36,Indian,No
26,Siddharth,Kaul,India,BOWLER,RHB,RIGHT ARM Fast Medium,50,30,Indian,No
27,Quinton,De Kock,South Africa,WICKETKEEPER,LHB,-,200,38,Oversesas,No
28,Wriddhiman,Saha,India,WICKETKEEPER,RHB,-,100,35,Indian,No
29,Glen,Maxwell,Australia,BATSMAN,RHB,-,300,47,Oversesas,Yes
30,Chris,Lynn,Australia,BATSMAN,RHB,LEFT ARM Slow Orthodox,200,41,Oversesas,No
31,Rahul,Tewatia,India,ALL-ROUNDER,LHB,RIGHT ARM Leg Spin,150,40,Indian,No
32,Avesh,Khan,India,BOWLER,RHB,RIGHT ARM Fast,100,37,Indian,No
33,Navdeep,Saini,India,BOWLER,RHB,RIGHT ARM Fast,100,36,Indian,No
34,Kusal,Mendis,Sri Lanka,WICKETKEEPER,RHB,RIGHT ARM Leg Spin,100,37,Oversesas,No
35,Mohit,Sharma,India,BOWLER,RHB,RIGHT ARM Fast Medium,50,30,Indian,No
36,Prasidh,Krishna,India,BOWLER,RHB,RIGHT ARM Fast,100,34,Indian,No
37,Riyan,Parag,India,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,100,36,Indian,No
38,Tim,Southee,New Zealand,BOWLER,RHB,RIGHT ARM Fast,200,41,Oversesas,No
39,Sandeep,Warrier,India,BOWLER,RHB,RIGHT ARM Fast,50,26,Indian,No
40,Mandeep,Singh,India,BATSMAN,RHB,RIGHT ARM Medium,50,29,Indian,No
41,Kartik,Tyagi,India,BOWLER,RHB,RIGHT ARM Fast Medium,20,28,Indian,No
42,Akshdeep,Nath,India,WICKETKEEPER,RHB,-,50,33,Indian,No
43,Rilee,Rossouw,South Africa,BATSMAN,LHB,RIGHT ARM Off Spin,50,30,Oversesas,No
44,Hanuma,Vihari,India,BATSMAN,RHB,RIGHT ARM Off Spin,50,31,Indian,No
45,Rishi,Dhawan,India,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,100,34,Indian,No
46,Deepak,Hooda,India,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,100,38,Indian,No
47,Rajat,Patidar,India,BATSMAN,RHB,RIGHT ARM Off Spin,100,34,Indian,No
48,Shreevats,Goswami,India,WICKETKEEPER,LHB,-,20,30,Indian,No
49,Ajinkya,Rahane,India,BATSMAN,RHB,-,200,38,Indian,No
50,Ben,Stokes,England,ALL-ROUNDER,LHB,RIGHT ARM Fast Medium,300,47,Oversesas,Yes
51,Andre,Russell,West Indies,ALL-ROUNDER,RHB,Right-arm fast,300,46,Oversesas,Yes
52,Lungisani,Ngidi,South Africa,BOWLER,RHB,RIGHT ARM Fast,200,42,Oversesas,No
53,Yashasvi,Jaiswal,India,BATSMAN,LHB,Right-arm legbreak,150,35,Indian,No
54,Ambati,Rayudu,India,WICKETKEEPER,RHB,-,200,40,Indian,No
55,Evin,Lewis,West Indies,BATSMAN,LHB,-,100,34,Oversesas,No
